sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/Proyecto-war/faces/view/solicitudes/mainPage.xhtml,392,2026,7,8708,2199.041177957609,0.0,0.11947857355994031,0.5003534352223444,4288.316326530612
/Proyecto-war/faces/view/solicitudes/resumenSolicitante.xhtml,391,2107,7,8693,2256.6096785136383,0.0025575447570332483,0.11910077997303632,4.44526860348091,38219.35549872123
/Proyecto-war/faces/view/solicitudes/crearSolicitud.xhtml,975,835,7,8817,1647.000088335772,0.0,0.29896264561397273,2.8093553345821283,9622.539487179487
/Proyecto-war/faces/view/solicitudes/consultarSolicitud.xhtml,4875,134,6,5455,240.26390183761012,0.0,1.4920750157165235,9.265741312507995,6359.009435897436
/Proyecto-war/faces/view/solicitudes/solicitud.xhtml,975,184,7,494,145.89398690529242,0.0,0.2986143375922374,3.4729930178225286,11909.491282051282
/Proyecto-war/faces/view/solicitudes/ayudaSolicitante.xhtml,390,9,6,118,6.085887578111532,0.0,0.11953887419514322,0.5898556188788051,5052.851282051282
/Proyecto-war/faces/view/solicitudes/perfilSolicitante.xhtml,195,10,9,30,1.6584491698316137,0.0,0.05977015158323468,0.5416816658776495,9280.251282051282
Total,8193,399,6,8817,1086.605254631372,1.2205541315757354E-4,2.4939090540496114,21.521372678644916,8836.683754424508
