sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/Proyecto-war/faces/view/solicitudes/mainPage.xhtml,150,186,7,1232,238.41151500900475,0.5,20.09107956067506,43.159850698165016,2199.766666666667
/Proyecto-war/faces/view/solicitudes/resumenSolicitante.xhtml,150,126,5,1449,203.59127900990478,0.5,19.193857965451055,40.73384017114523,2173.1666666666665
/Proyecto-war/faces/view/solicitudes/crearSolicitud.xhtml,375,131,4,2069,247.66036519933232,0.4,25.006668444918645,45.09985214807282,1846.7973333333334
/Proyecto-war/faces/view/solicitudes/consultarSolicitud.xhtml,1875,55,2,10220,278.05942419721885,0.15946666666666667,26.513009049773753,28.65911285262302,1106.888
/Proyecto-war/faces/view/solicitudes/solicitud.xhtml,375,125,4,4199,305.1787004770957,0.39466666666666667,11.042077677335769,21.623378654927713,2005.2693333333334
/Proyecto-war/faces/view/solicitudes/ayudaSolicitante.xhtml,150,164,3,4236,415.70186587131036,0.49333333333333335,8.509672661258298,18.05773591294605,2172.9533333333334
/Proyecto-war/faces/view/solicitudes/perfilSolicitante.xhtml,75,379,7,4844,770.5922628443368,0.96,3.923414940364093,15.302033473268466,3993.786666666667
Total,3150,95,2,10220,308.63447356086783,0.2834920634920635,30.327829393924805,45.14345732742021,1524.2403174603176
