sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/Proyecto-war/faces/view/solicitudes/mainPage.xhtml,200,1408,12,3068,709.6664073880062,0.0,12.457954403886882,52.99922819079357,4356.35
/Proyecto-war/faces/view/solicitudes/resumenSolicitante.xhtml,200,2074,560,3473,691.7741209202612,0.0,9.713924911360435,258.59136895004616,27259.585
/Proyecto-war/faces/view/solicitudes/crearSolicitud.xhtml,632,1575,6,3288,765.3266616760217,0.0,1.4921355954612636,12.143171974529812,8333.430379746835
/Proyecto-war/faces/view/solicitudes/consultarSolicitud.xhtml,2154,5677,9,125530,17157.80762008462,0.02135561745589601,5.372321321680833,18.01904974962214,3434.550139275766
/Proyecto-war/faces/view/solicitudes/solicitud.xhtml,271,27156,10,124914,31830.748579341973,0.11439114391143912,0.723465372437838,4.788468761179008,6777.645756457565
/Proyecto-war/faces/view/solicitudes/ayudaSolicitante.xhtml,67,1129,9,38140,4567.614158888381,0.0,0.28273382509325995,1.5169703263993213,5494.134328358209
/Proyecto-war/faces/view/solicitudes/perfilSolicitante.xhtml,66,478,5,1379,332.4872281562892,0.0,3.962536023054755,20.402803888238473,5272.5
Total,3590,5957,5,125530,17146.435885725612,0.021448467966573816,8.389516609607048,49.15908113322739,6000.2144846796655
